RLM_Learning_App_API_Name__c,RLM_Learning_Filter_Name__c,RLM_Learning_Identity__c,RLM_Learning_Link__c,Name,RLM_Learning_Object__c,RLM_Learning_Page_Name__c,RLM_Learning_Relationship_API_Name__c,RLM_Learning_Relative_Url__c,RLM_Learning_Setup_Page__c,RLM_Learning_Site_Name__c,RLM_Learning_Text_Value__c,RLM_Learning_Where_Condition__c,RecordType.$$DeveloperName$SobjectType,RLM_Learning_Page__r.Name,RLM_Learning_Section__r.Name
,,RateManagement_ValidateSetup_DYN_LINK,,Rate Management Validate Setup Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Rate Management Validate Setup Popup Section
,,RateManagement_LaunchApp_DYN_LINK,,Rate Management Launch App Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Rate Management Launch App Popup Section
,,RateManagement_CustomizeCapabilities_DYN_LINK,,Rate Management Customize Capabilities Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Rate Management Customize Capabilities Popup Section
,,SalesforceContracts_GetStarted_DYN_LINK,,Salesforce Contracts Get Started Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Salesforce Contracts Get Started Popup Section
,,SalesforceContracts_ValidateSetup_DYN_LINK,,Salesforce Contracts Validate Setup Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Salesforce Contracts Validate Setup Popup Section
,,SalesforceContracts_LaunchApp_DYN_LINK,,Salesforce Contracts Launch App Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Salesforce Contracts Launch App Popup Section
,,SalesforceContracts_Customize_DYN_LINK,,Salesforce Contracts Customize Capabilities Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Salesforce Contracts Customize Capabilities Popup Section
,,UsageManagement_GetStarted_DYN_LINK,,Usage Management Get Started Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Usage Management Get Started Popup Section
,,UsageManagement_ValidateSetup_DYN_LINK,,Usage Management Validate Setup Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Usage Management Validate Setup Section
,,UsageManagement_LaunchApp_DYN_LINK,,Usage Management Launch App Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Usage Management Launch App
,,UsageManagement_CustomizeCapabilities_DYN_LINK,,Usage Management Customize Capabilities Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Usage Management Customize Capabilities Popup Section
